"Netis","Wifi6 Router NX10, 11AC Router NC65/NC63/NC21 and Wifi Router MW5360","CVE-2024-48456","2026-06-01T00:00:00Z"
"Tenda","AC7, AC9, and AC10 Routers","CVE-2018-14558","2021-04-13T00:00:00Z"
"AccessAlly, Inc.","AccessAlly WordPress Plugin","CVE-2020-36875","2020-01-21T00:00:00Z"
"FXC","AE1021, AE1021PE","CVE-2023-49897","2023-12-06T00:00:00Z"
"Saad Iqbal","Post SMTP – Complete SMTP Solution with Logs, Alerts, Backup SMTP & Mobile App","CVE-2025-11833","2025-11-01T00:00:00Z"
"QTS, QuTS hero, and QuTScloud","QNAP","CVE-2023-47218","2024-02-16T00:00:00Z"
"cleantalk","spam_protection\,_antispam\,_firewall","CVE-2024-10781","2024-11-26T00:00:00Z"
"cleantalk","spam_protection\,_antispam\,_firewall","CVE-2021-24295","2021-05-03T00:00:00Z"
"cerber","wp_cerber_security\,_anti-spam_\&_malware_scan","CVE-2022-0429","2022-02-14T00:00:00Z"
"Trend Micro","Apex One, Apex One as a Service, and Worry-Free Business Security","CVE-2021-36742","2021-08-11T00:00:00Z"
"Trend Micro","Apex One, Apex One as a Service, and Worry-Free Business Security","CVE-2021-36741","2021-08-11T00:00:00Z"
"wpvivid","migration\,_backup\,_staging","CVE-2023-41243","2024-01-22T00:00:00Z"
"WPvivid","Migration, Backup, Staging - WPvivid plugin for WordPress","CVE-2020-36835","2024-10-15T00:00:00Z"
"WPvivid","Migration, Backup, Staging -WPvivid plugin for WordPress","CVE-2020-36842","2024-10-15T00:00:00Z"
"essekia","Tablesome Table\Contact Form DB\WPForms, CF7, Gravity, Forminator, Fluent","CVE-2025-12845","2026-02-19T00:00:00Z"
"Citrix","NetScaler SD-WAN Enterprise, CloudBridge Virtual WAN, and XenMobile Server","CVE-2017-6316","2019-12-13T00:00:00Z"
"Mura, Masa","CMS","CVE-2024-32640","2024-05-16T00:00:00Z"
"wpeverest","User Registration & Membership – Custom Registration Form Builder, Custom Login Form, User Profile, Content Restriction & Membership Plugin","CVE-2026-1492","2026-03-02T00:00:00Z"
"Red Hat","linux","CVE-1999-0192","2017-06-20T00:00:00Z"
"HP","hp-ux","CVE-1999-0502","2016-11-11T00:00:00Z"
"x.org","x11","CVE-1999-0526","2025-02-27T00:00:00Z"
"Microsoft","Internet Information Services (IIS)","CVE-2000-0071","2000-01-11T00:00:00Z"
"Red Hat","linux","CVE-2000-0248","2010-02-15T00:00:00Z"
"Red Hat","linux","CVE-2000-0322","2010-02-15T00:00:00Z"
"Microsoft","jet","CVE-2000-0325","2024-11-20T00:00:00Z"
"Microsoft","Internet Information Services (IIS)","CVE-2000-0884","2005-08-25T00:00:00Z"
"Cisco","IOS Software","CVE-2000-0984","2025-05-22T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2001-0154","2005-08-25T00:00:00Z"
"sun","Solaris","CVE-2001-0236","2017-06-20T00:00:00Z"
"Microsoft","Internet Information Services (IIS)","CVE-2001-0333","2001-03-18T00:00:00Z"
"Microsoft","index_server","CVE-2001-0500","2001-07-19T00:00:00Z"
"Microsoft","Microsoft Internet Information Server (IIS)","CVE-2001-0507","2021-01-05T00:00:00Z"
"Cisco","IOS Software","CVE-2001-0537","2023-11-15T00:00:00Z"
"david_madore","ftpd-bsd","CVE-2001-0550","2017-06-20T00:00:00Z"
"mit","kerberos","CVE-2001-0554","2001-07-18T00:00:00Z"
"university_of_cambridge","Exim","CVE-2001-0690","2017-06-20T00:00:00Z"
"sgi","irix","CVE-2001-0797","2017-06-20T00:00:00Z"
"nombas","scriptease_webserver","CVE-2001-1580","2025-02-27T00:00:00Z"
"Microsoft","Windows","CVE-2002-0367","2002-03-13T00:00:00Z"
"Apache","HTTP Server","CVE-2002-0392","2002-06-17T00:00:00Z"
"Microsoft","data_engine","CVE-2002-0649","2003-08-01T00:00:00Z"
"php_address","php_address","CVE-2002-0953","2024-09-19T00:00:00Z"
"squirrelmail","squirrelmail","CVE-2002-1131","2025-06-07T00:00:00Z"
"invision_power_services","invision_board","CVE-2002-1149","2024-09-19T00:00:00Z"
"kth","kth_kerberos_4","CVE-2002-1235","2002-10-22T00:00:00Z"
"easy_software_products","cups","CVE-2002-1368","2002-12-19T00:00:00Z"
"IBM","aix","CVE-2002-1689","2017-06-20T00:00:00Z"
"Apple","darwin_streaming_server","CVE-2003-0050","2020-12-01T00:00:00Z"
"Microsoft","Windows","CVE-2003-0109","2017-06-20T00:00:00Z"
"Microsoft","virtual_machine","CVE-2003-0111","2010-05-01T00:00:00Z"
"Linux","Kernel","CVE-2003-0127","2017-06-20T00:00:00Z"
"Samba","Samba","CVE-2003-0201","2017-06-20T00:00:00Z"
"Microsoft","Windows","CVE-2003-0352","2007-09-07T00:00:00Z"
"Microsoft","netmeeting","CVE-2003-0533","2004-05-13T00:00:00Z"
"Microsoft","Windows","CVE-2003-0605","2003-08-01T00:00:00Z"
"sendmail","advanced_message_server","CVE-2003-0681","2017-06-20T00:00:00Z"
"sendmail","advanced_message_server","CVE-2003-0694","2017-06-20T00:00:00Z"
"Linux","Kernel","CVE-2003-0961","2003-12-19T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2003-1041","2004-07-13T00:00:00Z"
"Microsoft","Windows","CVE-2004-0116","2017-06-20T00:00:00Z"
"Microsoft","Windows","CVE-2004-0210","2022-03-03T00:00:00Z"
"Microsoft","outlook_express","CVE-2004-0380","2004-02-13T00:00:00Z"
"Apple","quicktime","CVE-2004-0431","2010-05-01T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2004-0549","2004-07-30T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2004-0566","2004-07-30T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2004-0727","2004-11-09T00:00:00Z"
"nullsoft","winamp","CVE-2004-0820","2004-08-25T00:00:00Z"
"avaya","ip600_media_servers","CVE-2004-0839","2004-11-09T00:00:00Z"
"avaya","ip600_media_servers","CVE-2004-0841","2004-11-09T00:00:00Z"
"Microsoft","asp.net","CVE-2004-0847","2005-02-08T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2004-1043","2005-01-11T00:00:00Z"
"Microsoft","Windows","CVE-2004-1049","2010-05-01T00:00:00Z"
"avaya","ip600_media_servers","CVE-2004-1050","2004-12-01T00:00:00Z"
"phpbb_group","phpbb","CVE-2004-1315","2017-06-20T00:00:00Z"
"nortel","ip_softphone_2050","CVE-2004-1319","2005-02-08T00:00:00Z"
"Cisco","IOS Software","CVE-2004-1464","2006-08-27T00:00:00Z"
"OpenBSD","openssh","CVE-2004-1653","2016-10-12T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2005-0053","2005-02-08T00:00:00Z"
"awstats","awstats","CVE-2005-0116","2020-12-01T00:00:00Z"
"Veritas","Backup Exec Agent","CVE-2005-0773","2005-06-24T00:00:00Z"
"phpopenchat","phpopenchat","CVE-2005-0862","2019-08-28T00:00:00Z"
"Microsoft","image_color_management","CVE-2005-1219","2005-07-12T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2005-1790","2005-12-13T00:00:00Z"
"Microsoft","Windows","CVE-2005-1983","2005-08-09T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2005-2087","2005-07-12T00:00:00Z"
"ati","catalyst_driver","CVE-2005-2127","2005-10-11T00:00:00Z"
"Veritas","Backup Exec Agent","CVE-2005-2611","2005-08-12T00:00:00Z"
"Microsoft","Internet Information Services (IIS)","CVE-2005-2678","2018-01-15T00:00:00Z"
"Hewlett Packard (HP)","OpenView Network Node Manager","CVE-2005-2773","2020-12-01T00:00:00Z"
"Barracuda Networks","barracuda_spam_firewall","CVE-2005-2847","2020-12-01T00:00:00Z"
"Barracuda Networks","barracuda_spam_firewall","CVE-2005-2848","2020-12-01T00:00:00Z"
"squirrelmail","address_add_plugin","CVE-2005-3128","2024-09-19T00:00:00Z"
"mambo","mambo_site_server","CVE-2005-3738","2005-11-22T00:00:00Z"
"deerfield","visnetic_mail_server","CVE-2005-4556","2005-12-27T00:00:00Z"
"deerfield","visnetic_mail_server","CVE-2005-4557","2005-12-27T00:00:00Z"
"deerfield","visnetic_mail_server","CVE-2005-4558","2005-12-27T00:00:00Z"
"deerfield","visnetic_mail_server","CVE-2005-4559","2005-12-27T00:00:00Z"
"Microsoft","Windows","CVE-2005-4560","2005-12-28T00:00:00Z"
"Microsoft","data_access_components","CVE-2006-0003","2010-05-01T00:00:00Z"
"Microsoft","Windows","CVE-2006-0005","2010-05-01T00:00:00Z"
"Microsoft","Office","CVE-2006-0009","2006-03-14T00:00:00Z"
"Microsoft","Excel","CVE-2006-1301","2006-07-11T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2006-1359","2006-04-11T00:00:00Z"
"Microsoft","Office","CVE-2006-1540","2006-07-11T00:00:00Z"
"Apache","Struts","CVE-2006-1547","2022-01-21T00:00:00Z"
"awstats","awstats","CVE-2006-2237","2020-12-01T00:00:00Z"
"Microsoft","Word","CVE-2006-2492","2006-06-13T00:00:00Z"
"fckeditor","fckeditor","CVE-2006-2529","2024-03-28T00:00:00Z"
"Microsoft","Excel","CVE-2006-3059","2006-07-11T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2006-3227","2016-09-29T00:00:00Z"
"Microsoft","Windows","CVE-2006-3439","2017-06-20T00:00:00Z"
"Microsoft","PowerPoint","CVE-2006-3590","2006-08-08T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2006-3643","2010-05-01T00:00:00Z"
"Microsoft","visual_basic","CVE-2006-3649","2006-08-08T00:00:00Z"
"Mozilla","Firefox","CVE-2006-3677","2010-05-01T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2006-3730","2006-10-10T00:00:00Z"
"Barracuda Networks","barracuda_spam_firewall","CVE-2006-4000","2019-12-13T00:00:00Z"
"justsystem","formliner","CVE-2006-4326","2006-08-22T00:00:00Z"
"sendmail","sendmail","CVE-2006-4434","2006-08-29T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2006-4446","2006-11-14T00:00:00Z"
"Microsoft","Office","CVE-2006-4534","2006-10-10T00:00:00Z"
"Microsoft","Office","CVE-2006-4694","2006-10-10T00:00:00Z"
"Microsoft","visual_studio","CVE-2006-4704","2007-01-09T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2006-4777","2006-11-14T00:00:00Z"
"codeworx_technologies","dcp-portal","CVE-2006-4837","2025-11-10T00:00:00Z"
"Microsoft","Windows","CVE-2006-4868","2006-09-26T00:00:00Z"
"Microsoft","Windows","CVE-2006-5559","2010-05-01T00:00:00Z"
"nullsoft","winamp","CVE-2006-5567","2010-05-01T00:00:00Z"
"Microsoft","XMP Core Services","CVE-2006-5745","2006-11-14T00:00:00Z"
"Microsoft","Windows","CVE-2006-5758","2008-09-26T00:00:00Z"
"aol","aol","CVE-2006-5820","2008-03-03T00:00:00Z"
"Microsoft","Office","CVE-2006-5994","2007-02-13T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2006-6027","2010-05-01T00:00:00Z"
"Microsoft","Office","CVE-2006-6456","2007-02-13T00:00:00Z"
"Microsoft","Office","CVE-2006-6561","2007-02-13T00:00:00Z"
"winzip","winzip","CVE-2006-6884","2009-03-20T00:00:00Z"
"Apple","quicktime","CVE-2007-0015","2009-03-20T00:00:00Z"
"altdo","convert_mp3_master","CVE-2007-0018","2008-03-03T00:00:00Z"
"Microsoft","Windows","CVE-2007-0024","2007-01-09T00:00:00Z"
"Microsoft","Windows","CVE-2007-0038","2007-04-03T00:00:00Z"
"Adobe","Flash Player","CVE-2007-0071","2008-05-28T00:00:00Z"
"Microsoft","Office","CVE-2007-0515","2007-02-13T00:00:00Z"
"Microsoft","Office","CVE-2007-0671","2013-03-21T00:00:00Z"
"Microsoft","Word","CVE-2007-0870","2007-05-08T00:00:00Z"
"rainbow_portal","rainbow.zen","CVE-2007-0885","2025-06-07T00:00:00Z"
"jboss","JBoss","CVE-2007-1036","2019-09-01T00:00:00Z"
"Microsoft","Windows","CVE-2007-1070","2007-08-25T00:00:00Z"
"IBM","domino","CVE-2007-1675","2017-06-20T00:00:00Z"
"Microsoft","Windows","CVE-2007-1748","2007-05-08T00:00:00Z"
"Microsoft","Windows","CVE-2007-1765","2007-03-30T00:00:00Z"
"ichitaro","ichitaro","CVE-2007-1938","2007-04-10T00:00:00Z"
"phpwiki","phpwiki","CVE-2007-2024","2007-04-12T00:00:00Z"
"wildbits","mygallery","CVE-2007-2426","2007-04-29T00:00:00Z"
"office_ocx","word_viewer_ocx","CVE-2007-2496","2010-05-01T00:00:00Z"
"zenturi","zenturi_programchecker","CVE-2007-2987","2010-05-01T00:00:00Z"
"Alcatel","OmniPCX Enterprise","CVE-2007-3010","2020-05-07T00:00:00Z"
"yahoo","messenger","CVE-2007-3147","2010-05-01T00:00:00Z"
"yahoo","messenger","CVE-2007-3148","2010-05-01T00:00:00Z"
"lhaca","file_archiver","CVE-2007-3375","2007-07-06T00:00:00Z"
"Microsoft","Windows","CVE-2007-3896","2007-11-13T00:00:00Z"
"Microsoft","Office","CVE-2007-3899","2007-10-09T00:00:00Z"
"baidu","soba_search_bar","CVE-2007-4105","2011-09-01T00:00:00Z"
"justsystem","ichitaro","CVE-2007-4246","2007-08-17T00:00:00Z"
"opera","opera_browser","CVE-2007-4367","2010-05-01T00:00:00Z"
"lhaz","lhaz","CVE-2007-4428","2007-08-20T00:00:00Z"
"skype_technologies","skype","CVE-2007-4429","2007-08-20T00:00:00Z"
"ppstream","ppstream","CVE-2007-4748","2011-09-01T00:00:00Z"
"OpenBSD","openssh","CVE-2007-4752","2008-08-22T00:00:00Z"
"baofeng","storm","CVE-2007-4816","2011-09-01T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2007-5020","2007-10-26T00:00:00Z"
"xunlei","web_thunder","CVE-2007-5064","2007-09-20T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2007-5347","2007-12-20T00:00:00Z"
"Microsoft","Windows","CVE-2007-5587","2007-12-11T00:00:00Z"
"realnetworks","realplayer","CVE-2007-5601","2010-05-01T00:00:00Z"
"Microsoft","Windows","CVE-2007-5633","2018-03-06T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2007-5659","2009-03-20T00:00:00Z"
"ourgame.com","globallink","CVE-2007-5722","2007-10-30T00:00:00Z"
"gom_player","gom_player","CVE-2007-5779","2008-03-03T00:00:00Z"
"ssreader","ultra_star_reader","CVE-2007-5807","2007-11-05T00:00:00Z"
"Microsoft","jet","CVE-2007-6026","2008-05-13T00:00:00Z"
"xunlei","web_thunder","CVE-2007-6144","2011-09-01T00:00:00Z"
"Apple","quicktime","CVE-2007-6166","2010-05-01T00:00:00Z"
"aol","aolmediaplaybackcontrol","CVE-2007-6250","2010-05-01T00:00:00Z"
"justsystem","ichitaro","CVE-2007-6436","2007-12-18T00:00:00Z"
"Microsoft","Windows","CVE-2008-0015","2009-07-07T00:00:00Z"
"Microsoft","Excel","CVE-2008-0081","2008-10-01T00:00:00Z"
"Linux","Kernel","CVE-2008-0600","2010-08-12T00:00:00Z"
"ourgame.com","glworld","CVE-2008-0647","2008-02-07T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2008-0655","2008-02-09T00:00:00Z"
"Microsoft","Windows","CVE-2008-1092","2008-03-25T00:00:00Z"
"belkin","f5d7230-4","CVE-2008-1244","2015-05-22T00:00:00Z"
"Microsoft","Windows","CVE-2008-1436","2009-04-14T00:00:00Z"
"Microsoft","Internet Information Services (IIS)","CVE-2008-1446","2008-10-29T00:00:00Z"
"computer_associates","brightstor_arcserve_backup_laptops_desktops","CVE-2008-1472","2010-05-01T00:00:00Z"
"aurigma","image_uploader_activex_control","CVE-2008-1490","2010-05-01T00:00:00Z"
"coppermine","coppermine_photo_gallery","CVE-2008-1840","2008-04-16T00:00:00Z"
"coppermine","coppermine_photo_gallery","CVE-2008-1841","2008-04-16T00:00:00Z"
"Microsoft","Office","CVE-2008-1898","2011-04-21T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2008-2042","2010-01-20T00:00:00Z"
"bitrix24","bitrix_site_manager","CVE-2008-2052","2024-09-19T00:00:00Z"
"Microsoft","Office","CVE-2008-2244","2008-07-09T00:00:00Z"
"Microsoft","Windows","CVE-2008-2249","2012-10-18T00:00:00Z"
"appserv_open_project","appserv","CVE-2008-2398","2025-06-07T00:00:00Z"
"Microsoft","Office","CVE-2008-2463","2008-10-15T00:00:00Z"
"icona","instant_messenger","CVE-2008-2551","2021-08-17T00:00:00Z"
"Adobe","acrobat_3d","CVE-2008-2641","2008-06-25T00:00:00Z"
"Joomla!","com_facileforms","CVE-2008-2990","2016-09-05T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2008-2992","2010-01-20T00:00:00Z"
"Microsoft","windows_media_encoder","CVE-2008-3008","2010-05-01T00:00:00Z"
"Oracle","VirtualBox","CVE-2008-3431","2021-02-11T00:00:00Z"
"Microsoft","windows_xp","CVE-2008-3648","2024-08-07T00:00:00Z"
"Joomla!","com_user","CVE-2008-3681","2008-08-15T00:00:00Z"
"Microsoft","visual_basic","CVE-2008-3704","2008-08-18T00:00:00Z"
"Adobe","Flash Player","CVE-2008-3873","2008-08-29T00:00:00Z"
"justsystems","ichitaro","CVE-2008-3919","2008-09-04T00:00:00Z"
"telartis_bv","awstats_totals","CVE-2008-3922","2020-12-01T00:00:00Z"
"Cisco","IOS Software","CVE-2008-4128","2026-07-13T00:00:00Z"
"Microsoft","Windows","CVE-2008-4250","2008-10-23T00:00:00Z"
"Microsoft","WordPad","CVE-2008-4841","2008-12-10T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2008-4844","2008-12-11T00:00:00Z"
"sepal","spboard","CVE-2008-4873","2020-09-20T00:00:00Z"
"phpcow","phpcow","CVE-2008-5227","2008-11-25T00:00:00Z"
"sun","jdk","CVE-2008-5353","2010-01-05T00:00:00Z"
"dirk_bartley","nweb2fax","CVE-2008-6668","2024-09-19T00:00:00Z"
"uusee","uusee","CVE-2008-7168","2009-09-08T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2009-0075","2010-05-01T00:00:00Z"
"Microsoft","Windows","CVE-2009-0078","2009-04-14T00:00:00Z"
"Microsoft","Windows","CVE-2009-0079","2009-04-14T00:00:00Z"
"Microsoft","Windows","CVE-2009-0080","2009-04-14T00:00:00Z"
"Microsoft","Windows","CVE-2009-0084","2012-10-18T00:00:00Z"
"Microsoft","Office","CVE-2009-0087","2009-06-17T00:00:00Z"
"Microsoft","Exchange Server","CVE-2009-0099","2017-06-20T00:00:00Z"
"Microsoft","Office","CVE-2009-0238","2009-02-25T00:00:00Z"
"openoffice","openoffice.org","CVE-2009-0259","2009-01-21T00:00:00Z"
"zeroshell","zeroshell","CVE-2009-0545","2019-06-13T00:00:00Z"
"Microsoft","Windows","CVE-2009-0555","2009-11-10T00:00:00Z"
"Microsoft","Office","CVE-2009-0556","2009-04-03T00:00:00Z"
"Microsoft","Office","CVE-2009-0557","2022-06-08T00:00:00Z"
"Microsoft","Office","CVE-2009-0561","2012-10-18T00:00:00Z"
"Microsoft","Office","CVE-2009-0563","2013-03-14T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-0658","2009-02-20T00:00:00Z"
"isc","bind","CVE-2009-0696","2009-07-29T00:00:00Z"
"slysoft","anydvd","CVE-2009-0824","2018-03-06T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-0927","2010-01-20T00:00:00Z"
"ichitaro","ichitaro","CVE-2009-1054","2009-03-24T00:00:00Z"
"Microsoft","Windows","CVE-2009-1123","2016-08-04T00:00:00Z"
"Microsoft","Office","CVE-2009-1134","2012-10-18T00:00:00Z"
"Microsoft","isa_server","CVE-2009-1136","2009-07-15T00:00:00Z"
"phpMyAdmin","phpMyAdmin","CVE-2009-1151","2011-07-29T00:00:00Z"
"Mozilla","Firefox","CVE-2009-1308","2009-04-22T00:00:00Z"
"paul_marquess","compress-raw-zlib_perl_module","CVE-2009-1391","2009-06-16T00:00:00Z"
"konstanty_bialkowski","libmodplug","CVE-2009-1438","2009-04-27T00:00:00Z"
